diarizer,f1,precision,recall,auroc,auprc,threshold,f1_ci_lo,f1_ci_hi,auroc_ci_lo,auroc_ci_hi,auprc_ci_lo,auprc_ci_hi,precision_ci_lo,precision_ci_hi,recall_ci_lo,recall_ci_hi
BabAR,0.8740,0.9123,0.8388,0.8204,0.9178,0.1200,0.8455,0.9015,0.7756,0.8632,0.8903,0.9426,0.8800,0.9421,0.8000,0.8765
Pyannote,0.8575,0.8202,0.8985,0.6613,0.8257,0.1600,0.8294,0.8835,0.6006,0.7265,0.7777,0.8769,0.7814,0.8545,0.8629,0.9309
USC-SAIL,0.8743,0.8060,0.9552,0.6247,0.7928,0.2100,0.8484,0.8981,0.5545,0.6925,0.7416,0.8481,0.7671,0.8425,0.9310,0.9762
VTC,0.8879,0.8665,0.9104,0.7869,0.8946,0.1300,0.8627,0.9121,0.7358,0.8415,0.8548,0.9303,0.8329,0.9000,0.8799,0.9405
VTC-KCHI,0.8740,0.9123,0.8388,0.8204,0.9178,0.1200,0.8455,0.9015,0.7756,0.8632,0.8903,0.9426,0.8800,0.9421,0.8000,0.8765
VBx,0.8579,0.7974,0.9284,0.6863,0.8506,0.1750,0.8282,0.8835,0.6253,0.7472,0.8053,0.8952,0.7570,0.8342,0.8977,0.9547
TalkNet-ASD,0.3358,0.9079,0.2060,0.5686,0.7905,0.1000,0.2720,0.3953,0.5329,0.6076,0.7490,0.8296,0.8375,0.9702,0.1612,0.2500
EEND-EDA,0.8444,0.7723,0.9313,0.5279,0.7808,0.1000,0.8167,0.8714,0.4584,0.5873,0.7280,0.8285,0.7332,0.8120,0.9038,0.9548
Sortformer,0.8443,0.7963,0.8985,0.6635,0.8406,0.1000,0.8139,0.8726,0.6042,0.7262,0.7955,0.8855,0.7557,0.8364,0.8627,0.9318
WavLM-MIL,0.8823,0.8069,0.9731,0.7711,0.8931,0.5000,0.8583,0.9040,0.7144,0.8255,0.8540,0.9255,0.7694,0.8416,0.9541,0.9882
Whisper-MIL,0.8860,0.8682,0.9045,0.8531,0.9457,0.5000,0.8601,0.9091,0.8121,0.8924,0.9238,0.9641,0.8338,0.9014,0.8716,0.9342
SegMIL(babar_vtc+gated_attention),0.8743,0.8215,0.9343,0.8080,0.9269,0.5000,0.8483,0.8981,0.7595,0.8499,0.9013,0.9503,0.7857,0.8579,0.9061,0.9607
