sys_a,sys_b,auroc_a,auroc_b,auroc_diff,delong_z,delong_p,paired_boot_lo,paired_boot_hi,paired_boot_mean,significant_p05
whisper_mil,whisper_mil_tsmil_concat,0.8512,0.869,-0.0178,-1.204,0.2287,-0.047,0.0104,-0.0171,False
whisper_mil,wavlm_mil,0.8512,0.7715,0.0797,2.996,0.00273,0.0278,0.1324,0.0807,True
whisper_mil,babar_enrollment,0.8512,0.8237,0.0275,1.064,0.28711,-0.0227,0.076,0.0274,False
whisper_mil,vtc_enrollment,0.8512,0.8085,0.0427,1.485,0.13748,-0.0132,0.0984,0.043,False
whisper_mil,vtc_kchi_enrollment,0.8512,0.8237,0.0275,1.064,0.28711,-0.0227,0.076,0.0274,False
whisper_mil,vbx_enrollment,0.8512,0.6721,0.1791,5.244,0.0,0.1125,0.2398,0.18,True
whisper_mil,pyannote_enrollment,0.8512,0.666,0.1852,5.204,0.0,0.1173,0.252,0.1849,True
whisper_mil,usc_sail_enrollment,0.8512,0.6473,0.2039,5.308,0.0,0.1329,0.2709,0.2028,True
whisper_mil,sortformer_enrollment,0.8512,0.682,0.1692,4.954,0.0,0.1026,0.2339,0.1701,True
whisper_mil,eend_eda_enrollment,0.8512,0.5152,0.336,7.828,0.0,0.2519,0.4142,0.3347,True
whisper_mil,best_audio_mil_ensemble,0.8512,0.8765,-0.0252,-1.15,0.25027,-0.0645,0.0135,-0.0249,False
whisper_mil,metadata_stacker,0.8512,0.9018,-0.0505,-3.22,0.00128,-0.0807,-0.0216,-0.0503,True
whisper_mil,wavlm_pseudo_frame,0.8512,0.8355,0.0157,0.823,0.41071,-0.0176,0.0533,0.0168,False
whisper_mil,audio_llm_qwen25_omni,0.8512,0.7706,0.0806,3.226,0.00126,0.0376,0.1321,0.0807,True
whisper_mil_tsmil_concat,wavlm_mil,0.869,0.7715,0.0975,3.485,0.00049,0.0466,0.1538,0.0979,True
whisper_mil_tsmil_concat,babar_enrollment,0.869,0.8237,0.0453,1.716,0.08615,-0.0059,0.0959,0.0445,False
whisper_mil_tsmil_concat,vtc_enrollment,0.869,0.8085,0.0605,2.097,0.03597,0.0017,0.1156,0.0602,True
whisper_mil_tsmil_concat,vtc_kchi_enrollment,0.869,0.8237,0.0453,1.716,0.08615,-0.0059,0.0959,0.0445,False
whisper_mil_tsmil_concat,vbx_enrollment,0.869,0.6721,0.1969,6.037,0.0,0.1323,0.2572,0.1971,True
whisper_mil_tsmil_concat,pyannote_enrollment,0.869,0.666,0.203,5.842,0.0,0.1353,0.2725,0.202,True
whisper_mil_tsmil_concat,usc_sail_enrollment,0.869,0.6473,0.2217,5.959,0.0,0.148,0.293,0.2199,True
whisper_mil_tsmil_concat,sortformer_enrollment,0.869,0.682,0.187,5.69,0.0,0.1232,0.2501,0.1872,True
whisper_mil_tsmil_concat,eend_eda_enrollment,0.869,0.5152,0.3538,8.69,0.0,0.2709,0.4292,0.3518,True
whisper_mil_tsmil_concat,best_audio_mil_ensemble,0.869,0.8765,-0.0075,-0.325,0.74497,-0.0522,0.0354,-0.0078,False
whisper_mil_tsmil_concat,metadata_stacker,0.869,0.9018,-0.0328,-1.923,0.0545,-0.0696,0.0025,-0.0331,False
whisper_mil_tsmil_concat,wavlm_pseudo_frame,0.869,0.8355,0.0335,1.482,0.13828,-0.0103,0.0793,0.034,False
whisper_mil_tsmil_concat,audio_llm_qwen25_omni,0.869,0.7706,0.0984,3.417,0.00063,0.0452,0.1505,0.0978,True
wavlm_mil,babar_enrollment,0.7715,0.8237,-0.0522,-1.498,0.13422,-0.1223,0.011,-0.0533,False
wavlm_mil,vtc_enrollment,0.7715,0.8085,-0.0371,-0.974,0.33005,-0.1135,0.0373,-0.0377,False
wavlm_mil,vtc_kchi_enrollment,0.7715,0.8237,-0.0522,-1.498,0.13422,-0.1223,0.011,-0.0533,False
