analysis,diarizer,condition,f1_cell_a,f1_cell_b,effect_size
gestures_x_interaction,BabAR,interaction=True,0.8933,0.8571,0.0362
gestures_x_interaction,BabAR,interaction=False,0.8372,0.8955,-0.0583
gestures_x_interaction,Pyannote,interaction=True,0.88,0.8812,-0.0012
gestures_x_interaction,Pyannote,interaction=False,0.7317,0.7273,0.0044
gestures_x_interaction,USC-SAIL,interaction=True,0.9,0.8896,0.0104
gestures_x_interaction,USC-SAIL,interaction=False,0.7917,0.7692,0.0225
gestures_x_interaction,VTC,interaction=True,0.9071,0.8787,0.0284
gestures_x_interaction,VTC,interaction=False,0.8444,0.8824,-0.038
gestures_x_interaction,VTC-KCHI,interaction=True,0.8933,0.8571,0.0362
gestures_x_interaction,VTC-KCHI,interaction=False,0.8372,0.8955,-0.0583
gestures_x_interaction,VBx,interaction=True,0.8897,0.8669,0.0228
gestures_x_interaction,VBx,interaction=False,0.7826,0.7467,0.0359
gestures_x_interaction,TalkNet-ASD,interaction=True,0.3879,0.3351,0.0528
gestures_x_interaction,TalkNet-ASD,interaction=False,0.0,0.3158,-0.3158
gestures_x_interaction,EEND-EDA,interaction=True,0.8791,0.872,0.0071
gestures_x_interaction,EEND-EDA,interaction=False,0.7636,0.6747,0.0889
gestures_x_interaction,Sortformer,interaction=True,0.8921,0.8391,0.053
gestures_x_interaction,Sortformer,interaction=False,0.7111,0.7671,-0.056
gestures_x_interaction,WavLM-MIL,interaction=True,0.911,0.8976,0.0134
gestures_x_interaction,WavLM-MIL,interaction=False,0.76,0.7895,-0.0295
gestures_x_interaction,Whisper-MIL,interaction=True,0.9023,0.8903,0.012
gestures_x_interaction,Whisper-MIL,interaction=False,0.7805,0.8657,-0.0852
