system,dataset,tolerance_ms,tp,fp,fn,precision,recall,f1,n_files,n_files_with_gt
babar,playlogue,100,115,4299,28727,0.0261,0.004,0.0069,156,156
babar,playlogue,250,285,4129,28557,0.0646,0.0099,0.0171,156,156
babar,playlogue,500,566,3848,28276,0.1282,0.0196,0.034,156,156
babar,playlogue,1000,1009,3405,27833,0.2286,0.035,0.0607,156,156
babar,providence,100,13245,67026,60142,0.165,0.1805,0.1724,152,152
babar,providence,250,25054,55217,48333,0.3121,0.3414,0.3261,152,152
babar,providence,500,35005,45266,38382,0.4361,0.477,0.4556,152,152
babar,providence,1000,46419,33852,26968,0.5783,0.6325,0.6042,152,152
babar,synth_holdout,100,47,172,365,0.2146,0.1141,0.149,200,200
babar,synth_holdout,250,93,126,319,0.4247,0.2257,0.2948,200,200
babar,synth_holdout,500,119,100,293,0.5434,0.2888,0.3772,200,200
babar,synth_holdout,1000,129,90,283,0.589,0.3131,0.4089,200,200
eend_eda,playlogue,100,141,1670,28701,0.0779,0.0049,0.0092,156,156
eend_eda,playlogue,250,334,1477,28508,0.1844,0.0116,0.0218,156,156
eend_eda,playlogue,500,603,1208,28239,0.333,0.0209,0.0393,156,156
eend_eda,playlogue,1000,898,913,27944,0.4959,0.0311,0.0586,156,156
eend_eda,providence,100,963,23133,72424,0.04,0.0131,0.0198,152,152
eend_eda,providence,250,2348,21748,71039,0.0974,0.032,0.0482,152,152
eend_eda,providence,500,4401,19695,68986,0.1826,0.06,0.0903,152,152
eend_eda,providence,1000,7420,16676,65967,0.3079,0.1011,0.1522,152,152
eend_eda,synth_holdout,100,0,0,412,0.0,0.0,0.0,200,200
eend_eda,synth_holdout,250,0,0,412,0.0,0.0,0.0,200,200
eend_eda,synth_holdout,500,0,0,412,0.0,0.0,0.0,200,200
eend_eda,synth_holdout,1000,0,0,412,0.0,0.0,0.0,200,200
joint_asr_diar,providence,100,1720,24634,12213,0.0653,0.1234,0.0854,30,30
joint_asr_diar,providence,250,3517,22837,10416,0.1335,0.2524,0.1746,30,30
joint_asr_diar,providence,500,5541,20813,8392,0.2103,0.3977,0.2751,30,30
joint_asr_diar,providence,1000,8301,18053,5632,0.315,0.5958,0.4121,30,30
joint_asr_diar,synth_holdout,100,43,865,369,0.0474,0.1044,0.0652,200,200
joint_asr_diar,synth_holdout,250,62,846,350,0.0683,0.1505,0.0939,200,200
joint_asr_diar,synth_holdout,500,82,826,330,0.0903,0.199,0.1242,200,200
joint_asr_diar,synth_holdout,1000,115,793,297,0.1267,0.2791,0.1742,200,200
pseudo_frame_baseline,playlogue,100,1178,17999,27664,0.0614,0.0408,0.0491,156,156
pseudo_frame_baseline,playlogue,250,2957,16220,25885,0.1542,0.1025,0.1232,156,156
pseudo_frame_baseline,playlogue,500,5832,13345,23010,0.3041,0.2022,0.2429,156,156
pseudo_frame_baseline,playlogue,1000,9473,9704,19369,0.494,0.3284,0.3946,156,156
pseudo_frame_baseline,providence,100,3872,92217,69515,0.0403,0.0528,0.0457,152,152
pseudo_frame_baseline,providence,250,9563,86526,63824,0.0995,0.1303,0.1129,152,152
pseudo_frame_baseline,providence,500,18653,77436,54734,0.1941,0.2542,0.2201,152,152
pseudo_frame_baseline,providence,1000,32319,63770,41068,0.3363,0.4404,0.3814,152,152
pseudo_frame_c1distill,playlogue,100,1037,26342,27805,0.0379,0.036,0.0369,156,156
pseudo_frame_c1distill,playlogue,250,2751,24628,26091,0.1005,0.0954,0.0979,156,156
pseudo_frame_c1distill,playlogue,500,5529,21850,23313,0.2019,0.1917,0.1967,156,156
pseudo_frame_c1distill,playlogue,1000,9189,18190,19653,0.3356,0.3186,0.3269,156,156
pseudo_frame_c1distill,providence,100,3672,119336,69715,0.0299,0.05,0.0374,152,152
pseudo_frame_c1distill,providence,250,9062,113946,64325,0.0737,0.1235,0.0923,152,152
pseudo_frame_c1distill,providence,500,17450,105558,55937,0.1419,0.2378,0.1777,152,152
pseudo_frame_c1distill,providence,1000,29707,93301,43680,0.2415,0.4048,0.3025,152,152
pseudo_frame_synth,playlogue,100,816,11622,28026,0.0656,0.0283,0.0395,156,156
pseudo_frame_synth,playlogue,250,2069,10369,26773,0.1663,0.0717,0.1002,156,156
pseudo_frame_synth,playlogue,500,4018,8420,24824,0.323,0.1393,0.1947,156,156
pseudo_frame_synth,playlogue,1000,6525,5913,22317,0.5246,0.2262,0.3161,156,156
pseudo_frame_synth,providence,100,2899,63417,70488,0.0437,0.0395,0.0415,152,152
pseudo_frame_synth,providence,250,7257,59059,66130,0.1094,0.0989,0.1039,152,152
pseudo_frame_synth,providence,500,14020,52296,59367,0.2114,0.191,0.2007,152,152
pseudo_frame_synth,providence,1000,24376,41940,49011,0.3676,0.3322,0.349,152,152
pyannote,playlogue,100,6261,5771,22581,0.5204,0.2171,0.3064,156,156
pyannote,playlogue,250,7310,4722,21532,0.6075,0.2534,0.3577,156,156
