diarizer_a,diarizer_b,auroc_a,auroc_b,auroc_diff,p_value_two_sided,significant_p05
BabAR,Pyannote,0.8204,0.6613,0.1602,0.0,True
BabAR,USC-SAIL,0.8204,0.6247,0.1964,0.0,True
BabAR,VTC-KCHI,0.8204,0.8204,0.0,0.0,True
BabAR,VBx,0.8204,0.6863,0.1344,0.0,True
BabAR,EEND-EDA,0.8204,0.5279,0.2935,0.0,True
BabAR,TalkNet-ASD,0.8204,0.5686,0.2523,0.0,True
BabAR,Sortformer,0.8204,0.6635,0.1572,0.0,True
Pyannote,VTC-KCHI,0.6613,0.8204,-0.1602,0.0,True
Pyannote,VTC,0.6613,0.7869,-0.1271,0.0,True
USC-SAIL,Whisper-MIL,0.6247,0.8531,-0.2293,0.0,True
USC-SAIL,SegMIL-BabAR-Gated,0.6247,0.808,-0.1839,0.0,True
USC-SAIL,VTC-KCHI,0.6247,0.8204,-0.1964,0.0,True
Pyannote,SegMIL-BabAR-Gated,0.6613,0.808,-0.1477,0.0,True
USC-SAIL,VTC,0.6247,0.7869,-0.1633,0.0,True
Pyannote,Whisper-MIL,0.6613,0.8531,-0.1931,0.0,True
Pyannote,EEND-EDA,0.6613,0.5279,0.1333,0.0,True
VBx,Whisper-MIL,0.6863,0.8531,-0.1673,0.0,True
VBx,SegMIL-BabAR-Gated,0.6863,0.808,-0.1219,0.0,True
TalkNet-ASD,Whisper-MIL,0.5686,0.8531,-0.2851,0.0,True
TalkNet-ASD,WavLM-MIL,0.5686,0.7711,-0.2027,0.0,True
TalkNet-ASD,SegMIL-BabAR-Gated,0.5686,0.808,-0.2398,0.0,True
EEND-EDA,SegMIL-BabAR-Gated,0.5279,0.808,-0.281,0.0,True
EEND-EDA,Whisper-MIL,0.5279,0.8531,-0.3264,0.0,True
EEND-EDA,WavLM-MIL,0.5279,0.7711,-0.244,0.0,True
VTC-KCHI,EEND-EDA,0.8204,0.5279,0.2935,0.0,True
VTC-KCHI,Sortformer,0.8204,0.6635,0.1572,0.0,True
VBx,EEND-EDA,0.6863,0.5279,0.1591,0.0,True
VBx,TalkNet-ASD,0.6863,0.5686,0.1179,0.0,True
VTC-KCHI,TalkNet-ASD,0.8204,0.5686,0.2523,0.0,True
VTC-KCHI,VBx,0.8204,0.6863,0.1344,0.0,True
VTC,EEND-EDA,0.7869,0.5279,0.2604,0.0,True
VTC,TalkNet-ASD,0.7869,0.5686,0.2191,0.0,True
Sortformer,SegMIL-BabAR-Gated,0.6635,0.808,-0.1447,0.0,True
Sortformer,Whisper-MIL,0.6635,0.8531,-0.1901,0.0,True
WavLM-MIL,Whisper-MIL,0.7711,0.8531,-0.0824,0.001,True
EEND-EDA,Sortformer,0.5279,0.6635,-0.1363,0.001,True
VTC,VBx,0.7869,0.6863,0.1013,0.001,True
USC-SAIL,WavLM-MIL,0.6247,0.7711,-0.1469,0.002,True
VTC,Sortformer,0.7869,0.6635,0.1241,0.003,True
Pyannote,TalkNet-ASD,0.6613,0.5686,0.0921,0.004,True
Pyannote,WavLM-MIL,0.6613,0.7711,-0.1107,0.004,True
TalkNet-ASD,Sortformer,0.5686,0.6635,-0.0951,0.007,True
Sortformer,WavLM-MIL,0.6635,0.7711,-0.1076,0.009,True
USC-SAIL,EEND-EDA,0.6247,0.5279,0.0971,0.014,True
VBx,WavLM-MIL,0.6863,0.7711,-0.0848,0.018,True
VTC,Whisper-MIL,0.7869,0.8531,-0.066,0.025,True
Whisper-MIL,SegMIL-BabAR-Gated,0.8531,0.808,0.0454,0.076,False
BabAR,VTC,0.8204,0.7869,0.0331,0.124,False
VTC,VTC-KCHI,0.7869,0.8204,-0.0331,0.124,False
USC-SAIL,VBx,0.6247,0.6863,-0.062,0.133,False
USC-SAIL,TalkNet-ASD,0.6247,0.5686,0.0558,0.147,False
BabAR,WavLM-MIL,0.8204,0.7711,0.0495,0.161,False
VTC-KCHI,WavLM-MIL,0.8204,0.7711,0.0495,0.161,False
Pyannote,VBx,0.6613,0.6863,-0.0258,0.176,False
VTC-KCHI,Whisper-MIL,0.8204,0.8531,-0.0329,0.205,False
BabAR,Whisper-MIL,0.8204,0.8531,-0.0329,0.205,False
WavLM-MIL,SegMIL-BabAR-Gated,0.7711,0.808,-0.0371,0.215,False
TalkNet-ASD,EEND-EDA,0.5686,0.5279,0.0413,0.265,False
USC-SAIL,Sortformer,0.6247,0.6635,-0.0392,0.391,False
Pyannote,USC-SAIL,0.6613,0.6247,0.0362,0.402,False
VBx,Sortformer,0.6863,0.6635,0.0228,0.443,False
VTC,SegMIL-BabAR-Gated,0.7869,0.808,-0.0207,0.489,False
VTC-KCHI,SegMIL-BabAR-Gated,0.8204,0.808,0.0125,0.627,False
BabAR,SegMIL-BabAR-Gated,0.8204,0.808,0.0125,0.627,False
VTC,WavLM-MIL,0.7869,0.7711,0.0164,0.681,False
Pyannote,Sortformer,0.6613,0.6635,-0.003,0.924,False
