system,stratum,level,n,n_pos,f1,auroc
whisper_mil,Locomotion,no,240,181,0.899,0.865
whisper_mil,Locomotion,yes,197,153,0.877,0.854
whisper_mil,Gestures,no,247,183,0.886,0.878
whisper_mil,Gestures,yes,194,152,0.886,0.817
whisper_mil,Interaction_with_child,no,94,54,0.833,0.884
whisper_mil,Interaction_with_child,yes,347,281,0.896,0.827
whisper_mil,n_children_grp,1,345,271,0.896,0.873
whisper_mil,n_children_grp,>1,94,62,0.847,0.849
whisper_mil_tsmil_concat,Locomotion,no,236,181,0.917,0.872
whisper_mil_tsmil_concat,Locomotion,yes,196,152,0.875,0.867
whisper_mil_tsmil_concat,Gestures,no,242,182,0.891,0.874
whisper_mil_tsmil_concat,Gestures,yes,194,152,0.902,0.863
whisper_mil_tsmil_concat,Interaction_with_child,no,93,54,0.831,0.874
whisper_mil_tsmil_concat,Interaction_with_child,yes,343,280,0.909,0.852
whisper_mil_tsmil_concat,n_children_grp,1,342,270,0.906,0.873
whisper_mil_tsmil_concat,n_children_grp,>1,92,62,0.853,0.88
babar_enrollment,Locomotion,no,240,181,0.417,0.857
babar_enrollment,Locomotion,yes,197,153,0.306,0.788
babar_enrollment,Gestures,no,247,183,0.386,0.819
babar_enrollment,Gestures,yes,194,152,0.344,0.832
babar_enrollment,Interaction_with_child,no,94,54,0.451,0.864
babar_enrollment,Interaction_with_child,yes,347,281,0.35,0.813
babar_enrollment,n_children_grp,1,345,271,0.37,0.845
babar_enrollment,n_children_grp,>1,94,62,0.364,0.778
metadata_stacker,Locomotion,no,240,181,0.919,0.925
metadata_stacker,Locomotion,yes,197,153,0.893,0.89
metadata_stacker,Gestures,no,247,183,0.909,0.915
metadata_stacker,Gestures,yes,194,152,0.904,0.889
metadata_stacker,Interaction_with_child,no,94,54,0.891,0.909
metadata_stacker,Interaction_with_child,yes,347,281,0.909,0.894
metadata_stacker,n_children_grp,1,345,271,0.917,0.92
metadata_stacker,n_children_grp,>1,94,62,0.861,0.863
wavlm_pseudo_frame,Locomotion,no,240,181,0.863,0.838
wavlm_pseudo_frame,Locomotion,yes,197,153,0.879,0.839
wavlm_pseudo_frame,Gestures,no,247,183,0.858,0.836
wavlm_pseudo_frame,Gestures,yes,194,152,0.878,0.818
wavlm_pseudo_frame,Interaction_with_child,no,94,54,0.746,0.824
wavlm_pseudo_frame,Interaction_with_child,yes,347,281,0.895,0.813
wavlm_pseudo_frame,n_children_grp,1,345,271,0.883,0.859
wavlm_pseudo_frame,n_children_grp,>1,94,62,0.8,0.818
