system,objective,threshold_source,threshold,n,n_pos,n_neg,prevalence,tp,fp,tn,fn,precision,recall,specificity,accuracy,f1,balanced_acc,mcc,auroc,auprc,auprc_lift,delta_f1_vs_trivial,delta_bal_acc_vs_random,delta_mcc_vs_trivial,f1_ci_low,f1_ci_high,balanced_acc_ci_low,balanced_acc_ci_high,mcc_ci_low,mcc_ci_high,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high
babar_combined_runs::all_features,f1,test_self,0.1652196556584734,441,335,106,0.7596371882086168,289,31,75,46,0.903125,0.8626865671641791,0.7075471698113207,0.8253968253968254,0.8824427480916031,0.7851168684877499,0.5460854055411704,0.856519290340749,0.9420370898052619,0.1823999015966451,0.019040686235932913,0.28511686848774986,0.5460854055411704,0.8589142531031531,0.9063444108761329,0.7354227682343002,0.8313292030413968,0.4571721093684827,0.6356076120418843,0.822836524922557,0.8907737257110673,0.9285622648099398,0.9567878977522004
babar_combined_runs::all_features,balanced_acc,test_self,0.4688322088721518,441,335,106,0.7596371882086168,270,19,87,65,0.9342560553633218,0.8059701492537313,0.8207547169811321,0.8095238095238095,0.8653846153846154,0.8133624331174317,0.5634839458343921,0.856519290340749,0.9420370898052619,0.1823999015966451,0.0019825535289452745,0.3133624331174317,0.5634839458343921,0.8382814252299016,0.8930247184437619,0.7726415094339623,0.8546363700366094,0.49221910191034096,0.6421601613364234,0.822836524922557,0.8907737257110673,0.9285622648099398,0.9567878977522004
babar_combined_runs::all_features,youden,test_self,0.4688322088721518,441,335,106,0.7596371882086168,270,19,87,65,0.9342560553633218,0.8059701492537313,0.8207547169811321,0.8095238095238095,0.8653846153846154,0.8133624331174317,0.5634839458343921,0.856519290340749,0.9420370898052619,0.1823999015966451,0.0019825535289452745,0.3133624331174317,0.5634839458343921,0.8382814252299016,0.8930247184437619,0.7726415094339623,0.8546363700366094,0.49221910191034096,0.6421601613364234,0.822836524922557,0.8907737257110673,0.9285622648099398,0.9567878977522004
babar_combined_runs::diarizer_all,f1,test_self,0.3437880600310041,441,335,106,0.7596371882086168,282,27,79,53,0.912621359223301,0.8417910447761194,0.7452830188679245,0.81859410430839,0.8757763975155279,0.793537031822022,0.5477747696936397,0.8568290622359899,0.9422353712279693,0.1825981830193525,0.012374335659857794,0.29353703182202195,0.5477747696936397,0.8513285939264277,0.9009287925696594,0.7465752604900029,0.8384961982540129,0.4626498292107286,0.6330567333811524,0.8231955787102224,0.8911588284990144,0.9288890928573698,0.9555904686743713
babar_combined_runs::diarizer_all,balanced_acc,test_self,0.3930565380514651,441,335,106,0.7596371882086168,268,19,87,67,0.9337979094076655,0.8,0.8207547169811321,0.8049886621315193,0.8617363344051446,0.810377358490566,0.5564088841286413,0.8568290622359899,0.9422353712279693,0.1825981830193525,-0.0016657274505255115,0.310377358490566,0.5564088841286413,0.8355263157894738,0.8896000000000001,0.7661243311743171,0.8516333427203604,0.48030779580413063,0.6341334370298172,0.8231955787102224,0.8911588284990144,0.9288890928573698,0.9555904686743713
babar_combined_runs::diarizer_all,youden,test_self,0.3930565380514651,441,335,106,0.7596371882086168,268,19,87,67,0.9337979094076655,0.8,0.8207547169811321,0.8049886621315193,0.8617363344051446,0.810377358490566,0.5564088841286413,0.8568290622359899,0.9422353712279693,0.1825981830193525,-0.0016657274505255115,0.310377358490566,0.5564088841286413,0.8355263157894738,0.8896000000000001,0.7661243311743171,0.8516333427203604,0.48030779580413063,0.6341334370298172,0.8231955787102224,0.8911588284990144,0.9288890928573698,0.9555904686743713
babar_combined_runs::diarizer_plus_embedding,f1,test_self,0.1567465639423361,441,335,106,0.7596371882086168,283,27,79,52,0.9129032258064517,0.844776119402985,0.7452830188679245,0.8208616780045351,0.8775193798449613,0.7950295691354548,0.5517652967776742,0.8535623767952689,0.9401114972021267,0.1804743089935099,0.014117317989291167,0.29502956913545475,0.5517652967776742,0.8535349996388065,0.9019652815254542,0.7473127288087863,0.8399887355674458,0.4664350334649931,0.6353215302580425,0.8210074626865671,0.8873704590256266,0.9261468211713393,0.9543726238268795
babar_combined_runs::diarizer_plus_embedding,balanced_acc,test_self,0.438821867595323,441,335,106,0.7596371882086168,266,19,87,69,0.9333333333333333,0.7940298507462686,0.8207547169811321,0.800453514739229,0.8580645161290322,0.8073922838637004,0.5494315120749979,0.8535623767952689,0.9401114972021267,0.1804743089935099,-0.005337545726637916,0.30739228386370043,0.5494315120749979,0.8308626417688166,0.8854003139717425,0.7666104618417348,0.8499060123908758,0.4772663707839839,0.624067749866912,0.8210074626865671,0.8873704590256266,0.9261468211713393,0.9543726238268795
babar_combined_runs::diarizer_plus_embedding,youden,test_self,0.438821867595323,441,335,106,0.7596371882086168,266,19,87,69,0.9333333333333333,0.7940298507462686,0.8207547169811321,0.800453514739229,0.8580645161290322,0.8073922838637004,0.5494315120749979,0.8535623767952689,0.9401114972021267,0.1804743089935099,-0.005337545726637916,0.30739228386370043,0.5494315120749979,0.8308626417688166,0.8854003139717425,0.7666104618417348,0.8499060123908758,0.4772663707839839,0.624067749866912,0.8210074626865671,0.8873704590256266,0.9261468211713393,0.9543726238268795
babar_combined_runs::diarizer_plus_phoneme,f1,test_self,0.1530385167868166,441,335,106,0.7596371882086168,289,32,74,46,0.9003115264797508,0.8626865671641791,0.6981132075471698,0.8231292517006803,0.8810975609756098,0.7803998873556744,0.5384433621535241,0.8577865390030978,0.9435920235265791,0.1839548353179623,0.017695499119939617,0.28039988735567445,0.5384433621535241,0.8579955197216429,0.904984520123839,0.7317315544916924,0.8258437764010138,0.4508948324569261,0.6254773817093601,0.82195508307519,0.8926619262179668,0.9287786706930568,0.9578602789750478
babar_combined_runs::diarizer_plus_phoneme,balanced_acc,test_self,0.2628382595375306,441,335,106,0.7596371882086168,282,24,82,53,0.9215686274509803,0.8417910447761194,0.7735849056603774,0.8253968253968254,0.8798751950078004,0.8076879752182484,0.5705428381893071,0.8577865390030978,0.9435920235265791,0.1839548353179623,0.01647313315213028,0.3076879752182484,0.5705428381893071,0.8544578148502666,0.9046226993865031,0.7644353703182201,0.8496680512531681,0.49386430629871103,0.6520640228674325,0.82195508307519,0.8926619262179668,0.9287786706930568,0.9578602789750478
babar_combined_runs::diarizer_plus_phoneme,youden,test_self,0.2628382595375306,441,335,106,0.7596371882086168,282,24,82,53,0.9215686274509803,0.8417910447761194,0.7735849056603774,0.8253968253968254,0.8798751950078004,0.8076879752182484,0.5705428381893071,0.8577865390030978,0.9435920235265791,0.1839548353179623,0.01647313315213028,0.3076879752182484,0.5705428381893071,0.8544578148502666,0.9046226993865031,0.7644353703182201,0.8496680512531681,0.49386430629871103,0.6520640228674325,0.82195508307519,0.8926619262179668,0.9287786706930568,0.9578602789750478
babar_combined_runs::embedding_all,f1,test_self,0.169036244070586,441,335,106,0.7596371882086168,283,27,79,52,0.9129032258064517,0.844776119402985,0.7452830188679245,0.8208616780045351,0.8775193798449613,0.7950295691354548,0.5517652967776742,0.8509152351450295,0.9381906878181602,0.17855349960954336,0.014117317989291167,0.29502956913545475,0.5517652967776742,0.8535349996388065,0.9019652815254542,0.7473127288087863,0.8399887355674458,0.4664350334649931,0.6353215302580425,0.8161355956068712,0.8854991551675585,0.9236789863825284,0.9531320352519121
babar_combined_runs::embedding_all,balanced_acc,test_self,0.5356318423372877,441,335,106,0.7596371882086168,266,19,87,69,0.9333333333333333,0.7940298507462686,0.8207547169811321,0.800453514739229,0.8580645161290322,0.8073922838637004,0.5494315120749979,0.8509152351450295,0.9381906878181602,0.17855349960954336,-0.005337545726637916,0.30739228386370043,0.5494315120749979,0.8303068234432708,0.8839427662957076,0.7646926921993804,0.8468674317093776,0.476115736183998,0.6229820304063195,0.8161355956068712,0.8854991551675585,0.9236789863825284,0.9531320352519121
babar_combined_runs::embedding_all,youden,test_self,0.5356318423372877,441,335,106,0.7596371882086168,266,19,87,69,0.9333333333333333,0.7940298507462686,0.8207547169811321,0.800453514739229,0.8580645161290322,0.8073922838637004,0.5494315120749979,0.8509152351450295,0.9381906878181602,0.17855349960954336,-0.005337545726637916,0.30739228386370043,0.5494315120749979,0.8303068234432708,0.8839427662957076,0.7646926921993804,0.8468674317093776,0.476115736183998,0.6229820304063195,0.8161355956068712,0.8854991551675585,0.9236789863825284,0.9531320352519121
babar_combined_runs::enrollment_only,f1,test_self,0.179464093489258,441,335,106,0.7596371882086168,283,27,79,52,0.9129032258064517,0.844776119402985,0.7452830188679245,0.8208616780045351,0.8775193798449613,0.7950295691354548,0.5517652967776742,0.8203604618417346,0.9177605297462264,0.15812334153760954,0.014117317989291167,0.29502956913545475,0.5517652967776742,0.8535349996388065,0.9019652815254542,0.7473127288087863,0.8399887355674458,0.4664350334649931,0.6353215302580425,0.7749880315404112,0.8628069557871023,0.8956860877134143,0.9396294318938775
babar_combined_runs::enrollment_only,balanced_acc,test_self,0.3524110525490058,441,335,106,0.7596371882086168,280,25,81,55,0.9180327868852459,0.835820895522388,0.7641509433962265,0.81859410430839,0.875,0.7999859194593073,0.5551199412597346,0.8203604618417346,0.9177605297462264,0.15812334153760954,0.011597938144329856,0.2999859194593073,0.5551199412597346,0.848964313282452,0.8991132927491496,0.7545420304139678,0.8441840326668544,0.4740773374909143,0.6383887434791575,0.7749880315404112,0.8628069557871023,0.8956860877134143,0.9396294318938775
babar_combined_runs::enrollment_only,youden,test_self,0.3524110525490058,441,335,106,0.7596371882086168,280,25,81,55,0.9180327868852459,0.835820895522388,0.7641509433962265,0.81859410430839,0.875,0.7999859194593073,0.5551199412597346,0.8203604618417346,0.9177605297462264,0.15812334153760954,0.011597938144329856,0.2999859194593073,0.5551199412597346,0.848964313282452,0.8991132927491496,0.7545420304139678,0.8441840326668544,0.4740773374909143,0.6383887434791575,0.7749880315404112,0.8628069557871023,0.8956860877134143,0.9396294318938775
babar_combined_runs::gbm_all_features,f1,test_self,0.357100712963445,441,335,106,0.7596371882086168,280,27,79,55,0.9120521172638436,0.835820895522388,0.7452830188679245,0.8140589569160998,0.8722741433021806,0.7905519571951563,0.5398928178698074,0.8205857504928188,0.9275107090536339,0.16787352084501705,0.008872081446510416,0.29055195719515625,0.5398928178698074,0.8459119496855345,0.8981481481481481,0.7418702478175162,0.8342579555054914,0.45168765017848816,0.6224029051196062,0.7787211348915797,0.8596617150098563,0.9114990266440884,0.9440114189495279
babar_combined_runs::gbm_all_features,balanced_acc,test_self,0.4912694813877252,441,335,106,0.7596371882086168,271,23,83,64,0.9217687074829932,0.808955223880597,0.7830188679245284,0.8027210884353742,0.8616852146263911,0.7959870459025626,0.5365938656249272,0.8205857504928188,0.9275107090536339,0.16787352084501705,-0.001716847229279006,0.29598704590256264,0.5365938656249272,0.8346709470304976,0.8892356928454354,0.7507571810757533,0.8392202900591382,0.4535140417710257,0.6165998383067305,0.7787211348915797,0.8596617150098563,0.9114990266440884,0.9440114189495279
babar_combined_runs::gbm_all_features,youden,test_self,0.4912694813877252,441,335,106,0.7596371882086168,271,23,83,64,0.9217687074829932,0.808955223880597,0.7830188679245284,0.8027210884353742,0.8616852146263911,0.7959870459025626,0.5365938656249272,0.8205857504928188,0.9275107090536339,0.16787352084501705,-0.001716847229279006,0.29598704590256264,0.5365938656249272,0.8346709470304976,0.8892356928454354,0.7507571810757533,0.8392202900591382,0.4535140417710257,0.6165998383067305,0.7787211348915797,0.8596617150098563,0.9114990266440884,0.9440114189495279
babar_combined_runs::gbm_diarizer_all,f1,test_self,0.3274146058352304,441,335,106,0.7596371882086168,276,27,79,59,0.9108910891089109,0.8238805970149253,0.7452830188679245,0.8049886621315193,0.8652037617554859,0.7845818079414248,0.5245073863089403,0.8213883413123063,0.9238010187327494,0.16416383052413264,0.0018016998998157119,0.28458180794142485,0.5245073863089403,0.8397405660377357,0.8916113028222199,0.7353784145311179,0.8295603351168684,0.43532571240546997,0.6125730964100616,0.7797694311461559,0.8608846099690227,0.899970895402247,0.9429282230790327
babar_combined_runs::gbm_diarizer_all,balanced_acc,test_self,0.5757884117845102,441,335,106,0.7596371882086168,268,21,85,67,0.9273356401384083,0.8,0.8018867924528302,0.800453514739229,0.858974358974359,0.8009433962264152,0.5411522073385064,0.8213883413123063,0.9238010187327494,0.16416383052413264,-0.004427702881311113,0.3009433962264152,0.5411522073385064,0.8311194390978588,0.8871473354231975,0.7579495212616164,0.84317621796677,0.4617489180405079,0.6200913629497179,0.7797694311461559,0.8608846099690227,0.899970895402247,0.9429282230790327
babar_combined_runs::gbm_diarizer_all,youden,test_self,0.5757884117845102,441,335,106,0.7596371882086168,268,21,85,67,0.9273356401384083,0.8,0.8018867924528302,0.800453514739229,0.858974358974359,0.8009433962264152,0.5411522073385064,0.8213883413123063,0.9238010187327494,0.16416383052413264,-0.004427702881311113,0.3009433962264152,0.5411522073385064,0.8311194390978588,0.8871473354231975,0.7579495212616164,0.84317621796677,0.4617489180405079,0.6200913629497179,0.7797694311461559,0.8608846099690227,0.899970895402247,0.9429282230790327
