child_id,n_clips,f1,n_fp,n_fn
A6S0V1J3G6,1,0.0,0,0
B8I6G9P2G8,1,0.0,0,0
B9P5V1I5O5,2,0.0,2,0
A8P5O6Z7X6,1,0.0,1,0
C1G1X2G4C6,3,0.0,2,0
M4R4B8C7G8,1,0.0,1,0
L5V8G4A3K7,1,0.0,1,0
F6J0V8B6S4,1,0.0,1,0
W7P7J6H1H6,2,0.0,1,1
S6T9X3C8Y2,2,0.0,2,0
Z3H6O7C3O9,1,0.0,0,0
Y4W4H9A8X5,2,0.0,2,0
R2C7W8X7N9,2,0.0,2,0
N2H7T0A7U5,1,0.0,0,0
I8T4E2J3M6,8,0.2857,4,1
E2P5Q8S5A7,3,0.5,1,1
G3A6S5R9F7,5,0.5714,2,1
T8P2Z1M9O9,4,0.6667,1,0
P3A4R4S2O3,2,0.6667,0,1
G3D3S2N7W8,2,0.6667,1,0
C1I8N8L4Q4,2,0.6667,1,0
C5L2D6N1W6,2,0.6667,1,0
A1H3H9Y3T1,3,0.6667,0,1
Z1J6X4Y3Z4,3,0.6667,1,0
Q9W9P7Z3J7,6,0.75,1,1
M5O1K4W9O1,5,0.75,0,2
G4J8F6F4X0,11,0.7692,2,1
C5U1P3X9F0,8,0.7692,0,3
C0O6X3N5Y7,10,0.7692,0,3
B1L0B3F6F1,3,0.8,0,1
E7T7O3G7J5,3,0.8,1,0
E7Z4G3O5K2,4,0.8,1,0
Z2E7T3I3H2,4,0.8,0,1
W3P0N4W0X9,6,0.8,0,2
S9D2T7Y9B1,3,0.8,1,0
N3C7S2N8O0,5,0.8,0,1
F8N7H3T0O1,6,0.8,2,0
S4O9O2E5Z0,4,0.8571,1,0
O6F1J9U1J2,4,0.8571,1,0
J4J6X7C4D9,5,0.8571,0,1
D8G5K7I0D6,4,0.8571,1,0
D4Y7P4G2V4,5,0.8571,0,1
B4Q3G8H2N3,8,0.8571,1,1
A2P7X9N8L7,5,0.8889,1,0
B1S3L8Q7Y6,17,0.8889,2,1
S7F0B6H3A3,5,0.8889,1,0
S9B3J7I4R1,6,0.8889,0,1
N3L7A1I2B9,25,0.8889,1,3
F8V2U5P1A0,5,0.8889,1,0
L4M8P2T7S0,7,0.9091,0,1
L0B0Q5O3Q3,10,0.9333,0,1
J3J0V4T8C3,12,0.9474,0,1
F3N4H0K1Z1,12,0.9565,1,0
C3A8Q4J6E5,1,1.0,0,0
E3O3H8O7H4,3,1.0,0,0
D9N0U7M9X3,1,1.0,0,0
A2M5H0V6E3,3,1.0,0,0
A6Y4Y7X2G1,6,1.0,0,0
A4E8K1L5Y2,3,1.0,0,0
A3G3T7I1A5,4,1.0,0,0
A5X1S7S1E7,3,1.0,0,0
E7G3N4A1K5,2,1.0,0,0
D8O8B2C4X2,3,1.0,0,0
B2R3Q8L2Y3,4,1.0,0,0
M5Y0K3C9L0,3,1.0,0,0
M5H7X4O2M2,3,1.0,0,0
M5F7G8S4F0,3,1.0,0,0
M2N1C8G1C8,1,1.0,0,0
L6F2P7K8P1,5,1.0,0,0
L7Z6Q2U6Y6,2,1.0,0,0
L4M1H7J7G3,8,1.0,0,0
L5Q0Z1W8S2,1,1.0,0,0
L0C6T6H2C6,3,1.0,0,0
L4K0P3T4Q8,2,1.0,0,0
L3F0P2N3D1,1,1.0,0,0
G8Q8I6N0I3,2,1.0,0,0
H7C3T0K5E5,4,1.0,0,0
H3B5L5F8T1,5,1.0,0,0
K6I1Q4G2V4,2,1.0,0,0
K6O1J5K7Z0,7,1.0,0,0
G2N1M4K2S0,1,1.0,0,0
A6Z2B3J2A9,2,1.0,0,0
C4C7T6W2I0,3,1.0,0,0
R6R8Q6A7K0,8,1.0,0,0
S0M6Z7D5X7,3,1.0,0,0
N6O9P4J0Q2,1,1.0,0,0
S2C4T1Y7V7,6,1.0,0,0
S4C2W1M7Q0,4,1.0,0,0
S7Y0I2P0S8,5,1.0,0,0
T1G8F8W8Y8,4,1.0,0,0
R4O0P4P3J4,3,1.0,0,0
O7X6W5O8E0,3,1.0,0,0
N5I9D3R2M1,4,1.0,0,0
O2U2C6W2S9,3,1.0,0,0
O5Q7I1O6N2,4,1.0,0,0
N2Z6J3E5Q5,6,1.0,0,0
W3I4D2X4Z4,5,1.0,0,0
W2E0Z9B7Z8,1,1.0,0,0
V9X2Q7S1E1,1,1.0,0,0
V7D7K3H8B4,3,1.0,0,0
U6O5F2B7T5,3,1.0,0,0
T2H0J0N2Z5,5,1.0,0,0
W3O7N1N8U2,2,1.0,0,0
W4O4B5W7K0,2,1.0,0,0
X2N4R2N5V8,2,1.0,0,0
X1U1P0D1X3,3,1.0,0,0
W9S0D6Q7Z5,1,1.0,0,0
W9K7Y8Y0V6,3,1.0,0,0
Y6Z4H0C5U2,2,1.0,0,0
