id,start_time,end_time
ew_42ec_11006,0,-1
ew_42ec_11013,0,-1
ew_42ec_11023,0,-1
ew_42ec_11025,0,-1
ew_42ec_11051,0,696190
ew_42ec_11053,0,660437
ew_42ec_11055,0,572767
ew_42ec_11057,0,-1
ew_42ec_12003,0,689010
ew_42ec_12004,689010,-1
ew_42ec_12007,1159,891493
ew_42ec_12008,0,654106
ew_42ec_12011,3102,985544
ew_42ec_12014,0,-1
ew_42ec_12015,0,683244
ew_42ec_12029,0,756729
ew_42ec_12033,0,949454
ew_42ec_12037,2847,-1
ew_42ec_12050,0,811160
ew_42ec_12056,0,-1
ew_42ec_12061,34895,-1
ew_42ec_12095,0,-1
ew_42ec_21092,0,-1
ew_42ec_21097,1948,668055
ew_42ec_21121,1639,628036
ew_42ec_21135,0,1123248
ew_42ec_21189,0,516672
ew_42ec_21191,2596,666595
ew_42ec_22089,0,633768
ew_42ec_22101,0,889622
ew_42ec_22103,0,-1
ew_42ec_22108,0,-1
ew_42ec_22109,0,-1
ew_42ec_22113,0,-1
ew_42ec_22118,0,737438
ew_42ec_22120,0,-1
ew_42ec_22128,0,592731
ew_42ec_22148,0,-1
ew_42ec_22180,0,556064
ew_42pc_11013,0,-1
ew_42pc_11023,0,-1
ew_42pc_11053,0,-1
ew_42pc_11055,0,-1
ew_42pc_11057,0,-1
ew_42pc_12003,0,-1
ew_42pc_12007,0,-1
ew_42pc_12011,0,-1
ew_42pc_12014,0,589478
ew_42pc_12029,0,-1
ew_42pc_12033,0,-1
ew_42pc_12056,0,700877
ew_42pc_12071,0,-1
ew_42pc_12077,0,-1
ew_42pc_12095,0,-1
ew_42pc_21097,0,-1
ew_42pc_21121,0,-1
ew_42pc_21135,0,869355
ew_42pc_21189,0,-1
ew_42pc_22103,0,-1
ew_42pc_22108,0,-1
ew_42pc_22113,0,-1
ew_42pc_22118,0,-1
ew_42pc_22120,0,-1
ew_42pc_22128,4468,-1
ew_42pc_22148,0,787848
ew_42pc_22180,0,-1
ew_54ec_11006,0,-1
ew_54ec_11013,0,-1
ew_54ec_11023,0,-1
ew_54ec_11051,0,-1
ew_54ec_12007,0,-1
ew_54ec_12008,0,-1
ew_54ec_12014,18917,-1
ew_54ec_12015,15516,-1
ew_54ec_12029,0,-1
ew_54ec_12077,3553,950781
ew_54ec_21160,0,784108
ew_54ec_21189,0,878327
ew_54ec_22103,0,703235
ew_54ec_22104,0,-1
ew_54ec_22118,0,1238261
ew_54ec_22120,0,-1
ew_54ec_22128,0,-1
ew_54ec_22140,0,-1
ew_54ec_22148,0,799971
gleason_father_andy,663051,2216117
gleason_father_bobby,67283,1722651
gleason_father_david,79470,264539
gleason_father_eddie,499,1702649
gleason_father_frank,58401,1734321
gleason_father_guy,235057,2028358
gleason_father_helen,132305,1789191
gleason_father_isadora,81807,2030592
gleason_father_john,97193,1712118
gleason_father_katie,340804,1550117
gleason_father_laurel,18251,1731373
gleason_father_olivia,96250,2042787
gleason_father_susan,243121,1752450
gleason_father_theresa,64354,1819755
gleason_father_ursula,114622,1842804
gleason_mother_andy,130205,1310674
gleason_mother_charlie,92105,1867194
gleason_mother_david,15506,1828296
gleason_mother_frank,153600,1813117
gleason_mother_helen,59031,2023609
gleason_mother_isadora,160377,503426
gleason_mother_john,29494,846227
gleason_mother_katie,77869,525783
vh_brownf,13048,531525
vh_cherryf,17000,431811
vh_cottonf,18000,-1
vh_cullenf,10671,310976
vh_eastf,10000,449336
vh_gardnerf,18000,594976
vh_huntf,1000,618603
vh_johnsonf,4000,672878
vh_lundf,9500,410126
vh_marshf,8000,463905
vh_mcintyref,20000,511123
vh_nipf,12000,-1
vh_pricef,12000,670478
vh_raidf,2000,395643
vh_riotf,2135,344151
vh_royalf,0,380666
vh_saintf,4000,-1
vh_skipf,2000,567545
vh_smartf,0,-1
vh_smithf,0,-1
vh_vailf,11000,323451
cameron_aae_B3_26_47_PE_S22,90401,719575
cameron_aae_B3_31_47_PE_S22,104268,904970
cameron_aae_B3_32_47_PE_S22,939180,1680920
cameron_aae_B5_35_58_PE_O22,41119,363337
cameron_aae_B5_37_59_PE_O22,672105,872925
cameron_aae_B7_49_48_PE_N22,1211082,1455191
cameron_aae_B7_51_54_PE_N22,1071340,1418386
cameron_aae_B7_53_53_PE_N22,980668,1261418
cameron_aae_B7_56_49_PE_N22,1274939,1770390
cameron_aae_B7_57_49_PE_N22,1231512,1601119
cameron_aae_B7_58_51_PE_N22,1266906,1902487
cameron_aae_B7_63_57_PE_N22,1118051,1643087
cameron_aae_B7_66_56_PE_N22,888047,1057615
cameron_aae_B7_67_51_PE_N22,1077890,1222985
cameron_aae_B7_68_54_PE_N22,1222985,1375329
cameron_sae_B1_14_54_PE_O22,67700,240640
cameron_sae_B1_17_55_PE_O22,73458,246589
cameron_sae_B1_29_51_PE_O22,57661,301615
cameron_sae_B1_36_54_PE_O22,673189,834623
cameron_sae_B2_10_55_PE_A22,1094748,1333891
cameron_sae_B2_19_49_PE_S22,92685,391060
cameron_sae_B3_21_49_PE_A22,793678,957328
cameron_sae_B3_22_66_PE_A22,1058332,1711531
cameron_sae_B6_34_51_PE_O22,826521,1042138
cameron_sae_B6_43_56_PE_O22,58270,198345
cameron_sae_B6_44_59_PE_O22,529410,691782
cameron_sae_B6_47_57_PE_O22,217380,437100
cameron_sae_B7_61_54_PE_N22,1195600,1421650
cameron_sae_B7_65_58_PE_N22,1080721,1212381
