child_id,n_segments,status
A1H3H9Y3T1,95,ok
A2M5H0V6E3,32,ok
A2P7X9N8L7,62,ok
A3G3T7I1A5,72,ok
A4E8K1L5Y2,200,ok
A5X1S7S1E7,40,ok
A6Z2B3J2A9,117,ok
B1L0B3F6F1,19,ok
B1S3L8Q7Y6,200,ok
B2R3Q8L2Y3,36,ok
B4Q3G8H2N3,200,ok
B8I6G9P2G8,9,ok
B9P5V1I5O5,12,ok
C0O6X3N5Y7,29,ok
C1G1X2G4C6,9,ok
C1I8N8L4Q4,27,ok
C4C7T6W2I0,59,ok
C5L2D6N1W6,12,ok
C5U1P3X9F0,22,ok
D4Y7P4G2V4,200,ok
D8G5K7I0D6,10,ok
D8O8B2C4X2,61,ok
D9N0U7M9X3,36,ok
E2P5Q8S5A7,26,ok
E3O3H8O7H4,19,ok
E7G3N4A1K5,76,ok
E7T7O3G7J5,39,ok
E7Z4G3O5K2,77,ok
F3N4H0K1Z1,113,ok
F6J0V8B6S4,68,ok
F8N7H3T0O1,23,ok
F8V2U5P1A0,107,ok
G3A6S5R9F7,53,ok
G4J8F6F4X0,86,ok
H3B5L5F8T1,34,ok
H7C3T0K5E5,116,ok
I8T4E2J3M6,5,ok
J3J0V4T8C3,64,ok
J4J6X7C4D9,44,ok
K6O1J5K7Z0,124,ok
L0B0Q5O3Q3,200,ok
L0C6T6H2C6,82,ok
L4M1H7J7G3,158,ok
L4M8P2T7S0,113,ok
L6F2P7K8P1,50,ok
L7Z6Q2U6Y6,46,ok
M4R4B8C7G8,28,ok
M5H7X4O2M2,14,ok
M5O1K4W9O1,32,ok
M5Y0K3C9L0,33,ok
N2H7T0A7U5,55,ok
N2Z6J3E5Q5,54,ok
N3C7S2N8O0,46,ok
N3L7A1I2B9,200,ok
N5I9D3R2M1,61,ok
O2U2C6W2S9,28,ok
O5Q7I1O6N2,72,ok
O6F1J9U1J2,32,ok
O7X6W5O8E0,181,ok
Q9W9P7Z3J7,20,ok
R4O0P4P3J4,57,ok
R6R8Q6A7K0,94,ok
S0M6Z7D5X7,95,ok
S2C4T1Y7V7,53,ok
S4C2W1M7Q0,193,ok
S4O9O2E5Z0,63,ok
S7F0B6H3A3,72,ok
S7Y0I2P0S8,62,ok
S9B3J7I4R1,106,ok
S9D2T7Y9B1,14,ok
T1G8F8W8Y8,111,ok
T2H0J0N2Z5,15,ok
T8P2Z1M9O9,19,ok
U6O5F2B7T5,64,ok
V7D7K3H8B4,51,ok
W2E0Z9B7Z8,65,ok
W3I4D2X4Z4,84,ok
W3O7N1N8U2,20,ok
W3P0N4W0X9,41,ok
W4O4B5W7K0,51,ok
W9K7Y8Y0V6,176,ok
X1U1P0D1X3,23,ok
X2N4R2N5V8,30,ok
Y4W4H9A8X5,6,ok
Y6Z4H0C5U2,132,ok
Z2E7T3I3H2,32,ok
Z3H6O7C3O9,17,ok
