child_id,n_segments,status
A1H3H9Y3T1,40,ok
A2M5H0V6E3,14,ok
A2P7X9N8L7,46,ok
A3G3T7I1A5,17,ok
A4E8K1L5Y2,136,ok
A5X1S7S1E7,7,ok
A6Z2B3J2A9,81,ok
B1L0B3F6F1,22,ok
B1S3L8Q7Y6,112,ok
B2R3Q8L2Y3,22,ok
B4Q3G8H2N3,123,ok
B8I6G9P2G8,2,ok
B9P5V1I5O5,6,ok
C0O6X3N5Y7,11,ok
C1G1X2G4C6,4,ok
C1I8N8L4Q4,17,ok
C4C7T6W2I0,21,ok
C5L2D6N1W6,7,ok
C5U1P3X9F0,16,ok
D4Y7P4G2V4,168,ok
D8G5K7I0D6,3,ok
D8O8B2C4X2,61,ok
D9N0U7M9X3,38,ok
E2P5Q8S5A7,20,ok
E3O3H8O7H4,20,ok
E7G3N4A1K5,17,ok
E7T7O3G7J5,16,ok
E7Z4G3O5K2,52,ok
F3N4H0K1Z1,74,ok
F6J0V8B6S4,35,ok
F8N7H3T0O1,30,ok
F8V2U5P1A0,74,ok
G3A6S5R9F7,29,ok
G4J8F6F4X0,54,ok
H3B5L5F8T1,22,ok
H7C3T0K5E5,9,ok
I8T4E2J3M6,3,ok
J3J0V4T8C3,32,ok
J4J6X7C4D9,30,ok
K6O1J5K7Z0,77,ok
L0B0Q5O3Q3,174,ok
L0C6T6H2C6,52,ok
L4M1H7J7G3,82,ok
L4M8P2T7S0,92,ok
L6F2P7K8P1,24,ok
L7Z6Q2U6Y6,29,ok
M4R4B8C7G8,14,ok
M5H7X4O2M2,15,ok
M5O1K4W9O1,20,ok
M5Y0K3C9L0,16,ok
N2H7T0A7U5,17,ok
N2Z6J3E5Q5,34,ok
N3C7S2N8O0,48,ok
N3L7A1I2B9,164,ok
N5I9D3R2M1,45,ok
O2U2C6W2S9,24,ok
O5Q7I1O6N2,33,ok
O6F1J9U1J2,37,ok
O7X6W5O8E0,102,ok
Q9W9P7Z3J7,24,ok
R4O0P4P3J4,48,ok
R6R8Q6A7K0,65,ok
S0M6Z7D5X7,49,ok
S2C4T1Y7V7,32,ok
S4C2W1M7Q0,86,ok
S4O9O2E5Z0,44,ok
S7F0B6H3A3,52,ok
S7Y0I2P0S8,39,ok
S9B3J7I4R1,75,ok
S9D2T7Y9B1,8,ok
T1G8F8W8Y8,67,ok
T2H0J0N2Z5,5,ok
T8P2Z1M9O9,10,ok
U6O5F2B7T5,39,ok
V7D7K3H8B4,45,ok
W2E0Z9B7Z8,30,ok
W3I4D2X4Z4,59,ok
W3O7N1N8U2,12,ok
W3P0N4W0X9,22,ok
W4O4B5W7K0,36,ok
W9K7Y8Y0V6,85,ok
X1U1P0D1X3,19,ok
X2N4R2N5V8,12,ok
Y4W4H9A8X5,6,ok
Y6Z4H0C5U2,90,ok
Z2E7T3I3H2,17,ok
Z3H6O7C3O9,13,ok
