child_id,timepoint_norm,n_segments,status
A1H3H9Y3T1,14_month,35,ok
A1H3H9Y3T1,36_month,36,ok
A2M5H0V6E3,14_month,9,ok
A2M5H0V6E3,36_month,7,ok
A2P7X9N8L7,14_month,13,ok
A2P7X9N8L7,36_month,12,ok
A3G3T7I1A5,14_month,0,no_valid_segments
A3G3T7I1A5,36_month,3,ok
A4E8K1L5Y2,36_month,131,ok
A5X1S7S1E7,14_month,3,ok
A5X1S7S1E7,36_month,5,ok
A6S0V1J3G6,14_month,5,ok
A6Y4Y7X2G1,14_month,20,ok
A6Z2B3J2A9,14_month,40,ok
A6Z2B3J2A9,36_month,58,ok
A8P5O6Z7X6,14_month,4,ok
B1L0B3F6F1,14_month,42,ok
B1L0B3F6F1,36_month,10,ok
B1S3L8Q7Y6,14_month,32,ok
B1S3L8Q7Y6,36_month,67,ok
B2R3Q8L2Y3,14_month,56,ok
B2R3Q8L2Y3,36_month,5,ok
B4Q3G8H2N3,14_month,24,ok
B4Q3G8H2N3,36_month,81,ok
B8I6G9P2G8,36_month,2,ok
B9P5V1I5O5,14_month,1,ok
B9P5V1I5O5,36_month,6,ok
C0O6X3N5Y7,14_month,51,ok
C0O6X3N5Y7,36_month,11,ok
C1G1X2G4C6,14_month,2,ok
C1G1X2G4C6,36_month,3,ok
C1I8N8L4Q4,36_month,14,ok
C3A8Q4J6E5,14_month,7,ok
C4C7T6W2I0,14_month,13,ok
C4C7T6W2I0,36_month,11,ok
C5L2D6N1W6,14_month,12,ok
C5L2D6N1W6,36_month,5,ok
C5U1P3X9F0,14_month,21,ok
C5U1P3X9F0,36_month,4,ok
D4Y7P4G2V4,14_month,21,ok
D4Y7P4G2V4,36_month,143,ok
D8G5K7I0D6,14_month,23,ok
D8G5K7I0D6,36_month,3,ok
D8O8B2C4X2,14_month,11,ok
D8O8B2C4X2,36_month,34,ok
D9N0U7M9X3,36_month,21,ok
E2P5Q8S5A7,14_month,24,ok
E2P5Q8S5A7,36_month,20,ok
E3O3H8O7H4,14_month,17,ok
E3O3H8O7H4,36_month,18,ok
E7G3N4A1K5,36_month,11,ok
E7T7O3G7J5,14_month,0,no_valid_segments
E7T7O3G7J5,36_month,16,ok
E7Z4G3O5K2,14_month,0,no_valid_segments
E7Z4G3O5K2,36_month,42,ok
F3N4H0K1Z1,14_month,77,ok
F3N4H0K1Z1,36_month,53,ok
