path,role,age_band,start_sec,end_sec
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/gleason_father_ursula.mp3,child,14_18_months,1710.92,1712.6200000000001
/orcd/scratch/orcd/008/manaal/child-adult-diarization/data/tinyvox/audio/phon_Eng-NA_Providence_Lily_010323_00730093_00731560.wav,child,14_18_months,0.0,1.467
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/gleason_father_frank.mp3,child,14_18_months,695.02,695.48
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/gleason_father_ursula.mp3,child,14_18_months,722.72,723.5
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010201.mp3,child,14_18_months,2870.506,2871.075
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/lily_010521.wav,child,14_18_months,2728.102,2732.62
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/lily_010313.wav,child,14_18_months,433.321,435.85
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/ew_42pc_11023.mp3,child,14_18_months,356.16,357.5
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010411.mp3,child,14_18_months,199.856,203.718
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/ew_42ec_22120.mp3,child,14_18_months,373.96,375.7
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/gleason_father_helen.mp3,child,14_18_months,1604.34,1606.1599999999999
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010411.mp3,child,14_18_months,3579.253,3582.706
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/vh_vailf.mp3,child,14_18_months,215.88,217.14
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/gleason_father_eddie.mp3,child,14_18_months,1694.32,1695.82
/orcd/scratch/orcd/008/manaal/child-adult-diarization/data/tinyvox/audio/phon_Eng-NA_Providence_Ethan_010218_01378358_01379996.wav,child,14_18_months,0.0,1.638
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/ew_42pc_12029.mp3,child,14_18_months,216.98,219.2
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/ew_54ec_21189.mp3,child,14_18_months,365.44,366.08
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/gleason_father_olivia.mp3,child,14_18_months,773.3,773.62
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/cameron_SAE_B7_61_54_PE_N22.mp3,child,14_18_months,23.76,24.720000000000002
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/gleason_father_isadora.mp3,child,14_18_months,1041.44,1042.94
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/ew_42ec_21189.mp3,child,14_18_months,333.62,335.52
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/gleason_father_helen.mp3,child,14_18_months,764.78,767.1
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/ew_42pc_11013.mp3,child,14_18_months,527.42,528.1999999999999
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010620.mp3,child,14_18_months,2978.15,2979.925
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/lily_010228.wav,child,14_18_months,2352.52,2353.613
/orcd/scratch/orcd/008/manaal/child-adult-diarization/data/tinyvox/audio/phon_Eng-NA_Providence_Naima_010312_02129091_02135328.wav,child,14_18_months,0.0,6.237
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010411.mp3,child,14_18_months,1634.061,1636.466
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/ew_42ec_11055.mp3,child,14_18_months,534.88,536.0
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010517.mp3,child,14_18_months,306.951,311.99600000000004
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/lily_010423.wav,child,14_18_months,3499.341,3502.498
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010228.mp3,child,14_18_months,1364.175,1364.93
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/lily_010423.wav,child,14_18_months,2153.261,2155.785
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010411.mp3,child,14_18_months,2995.566,3002.993
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/ethan_010411.mp3,child,14_18_months,1303.396,1317.385
/orcd/scratch/orcd/008/manaal/child-adult-diarization/data/tinyvox/audio/phon_Eng-NA_Davis_Rebecca_010517_04494802_04496371.wav,child,14_18_months,0.0,1.569
/orcd/scratch/orcd/008/manaal/child-adult-diarization/playlogue/audio/ew_42ec_12061.mp3,child,14_18_months,892.98,894.9
/orcd/scratch/orcd/008/manaal/child-adult-diarization/providence/audio/lily_010508.wav,child,14_18_months,1251.796,1253.566
