segment_id,source_dataset,source_recording_id,speaker_id,speaker_role,age_months,age_band,start_time_sec,end_time_sec,duration_sec,audio_path,sample_rate,transcript,phonetic_transcript,vocalization_type,quality_score,split,usable_for_training,childrenization_pitch_shift_semitones,childrenization_duration_stretch
prov_adult_ethan_020920_MOT_1753558_1759007,cleese_childrenized_providence_adults,020920,ethan_MOT,target_child,16,14_18_months,0.0,5.4436,5.4436,data/segments/cleese_childrenized/providence_adults_676b470cc1.wav,16000,,,cleese_childrenized,1.0,train,True,8.541751159080187,0.9989981191553695
prov_adult_lily_010611_MOT_721153_722157,cleese_childrenized_providence_adults,010611,lily_MOT,target_child,16,14_18_months,0.0,1.0497,1.0497,data/segments/cleese_childrenized/providence_adults_bfd5b88783.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0455262452306855
librispeech_696-92939-0019,cleese_childrenized_librispeech,696-92939-0019,696,target_child,16,14_18_months,0.0,16.7026,16.7026,data/segments/cleese_childrenized/librispeech_a0fc92a4f1.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.095612023294616
prov_adult_lily_010611_MOT_1179927_1181860,cleese_childrenized_providence_adults,010611,lily_MOT,target_child,16,14_18_months,0.0,2.0519,2.0519,data/segments/cleese_childrenized/providence_adults_8885e0f5ef.wav,16000,,,cleese_childrenized,1.0,train,True,7.240071171882948,1.0614915749498517
prov_adult_alex_020102_MOT_1662503_1666227,cleese_childrenized_providence_adults,020102,alex_MOT,target_child,16,14_18_months,0.0,3.7290,3.7290,data/segments/cleese_childrenized/providence_adults_1744bea1ab.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,1.001069468821202
librispeech_2836-5354-0054,cleese_childrenized_librispeech,2836-5354-0054,2836,target_child,16,14_18_months,0.0,16.1229,16.1229,data/segments/cleese_childrenized/librispeech_e8be1bfdf7.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0868176979927484
prov_adult_lily_010925_MOT_1148610_1151050,cleese_childrenized_providence_adults,010925,lily_MOT,target_child,16,14_18_months,0.0,2.6062,2.6062,data/segments/cleese_childrenized/providence_adults_3d4437d2c7.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0680970903887494
prov_adult_lily_020201_MOT_927325_928046,cleese_childrenized_providence_adults,020201,lily_MOT,target_child,16,14_18_months,0.0,0.6928,0.6928,data/segments/cleese_childrenized/providence_adults_d3bf2d8e42.wav,16000,,,cleese_childrenized,0.721,train,True,8.673829726476468,0.9609029699212599
prov_adult_alex_030516_MOT_1415545_1419008,cleese_childrenized_providence_adults,030516,alex_MOT,target_child,16,14_18_months,0.0,3.2258,3.2258,data/segments/cleese_childrenized/providence_adults_9856ddd5d9.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,0.9314871060987516
playlogue_ADULT_ew_42pc_12003_405260_407159,cleese_childrenized_playlogue_adults,ew_42pc_12003,ew_ADULT_ew_42pc_12003,target_child,16,14_18_months,0.0,1.9640,1.9640,data/segments/cleese_childrenized/playlogue_adults_385759e228.wav,16000,,,cleese_childrenized,1.0,train,True,6.0,1.0336995918419718
prov_adult_alex_020411_MOT_906586_908316,cleese_childrenized_providence_adults,020411,alex_MOT,target_child,16,14_18_months,0.0,1.7020,1.7020,data/segments/cleese_childrenized/providence_adults_bda94dbb08.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,0.9838146742633763
librispeech_4441-76262-0034,cleese_childrenized_librispeech,4441-76262-0034,4441,target_child,16,14_18_months,0.0,15.0280,15.0280,data/segments/cleese_childrenized/librispeech_2e3110954b.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,1.0807618018379956
prov_adult_alex_021025_MOT_23978_25565,cleese_childrenized_providence_adults,021025,alex_MOT,target_child,16,14_18_months,0.0,1.5156,1.5156,data/segments/cleese_childrenized/providence_adults_a502d86fa9.wav,16000,,,cleese_childrenized,1.0,train,True,9.67873762121576,0.9550349674133543
playlogue_ADULT_gleason_father_john_777760_779780,cleese_childrenized_playlogue_adults,gleason_father_john,gleason_ADULT_gleason_father_john,target_child,16,14_18_months,0.0,1.8743,1.8743,data/segments/cleese_childrenized/playlogue_adults_8ce754e63f.wav,16000,,,cleese_childrenized,1.0,train,True,12.0,0.9278846778417013
