audio_path,child_id,timepoint_norm,label,audio_exists,split
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_003072__63265c62.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_004375__ea7834b7.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_002904__a3a256c1.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_002667__98330d5f.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_003485__69e5f4bf.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_003597__d5a77ef6.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_004580__b902e128.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_003951__d1509d13.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_000131__7b723944.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/B1S3L8Q7Y6/default_14_18mo_42_003140__ea2dcff4.wav,B1S3L8Q7Y6,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_003655__05390a50.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_001785__1b26d1d8.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_001201__028de22d.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_000685__11419eb4.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_003331__9ad744a2.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_004216__7ffe16a9.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_003218__cde883ca.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_004669__3c6dfc3f.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_004901__cee780b0.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/G4J8F6F4X0/default_14_18mo_42_003709__00b933c8.wav,G4J8F6F4X0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/K6O1J5K7Z0/default_14_18mo_42_002076__c67f42a1.wav,K6O1J5K7Z0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/K6O1J5K7Z0/default_14_18mo_42_002556__f34011eb.wav,K6O1J5K7Z0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/K6O1J5K7Z0/default_14_18mo_42_001651__b6cec016.wav,K6O1J5K7Z0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/K6O1J5K7Z0/default_14_18mo_42_002472__850ff6db.wav,K6O1J5K7Z0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/K6O1J5K7Z0/default_14_18mo_42_001705__17fedfdf.wav,K6O1J5K7Z0,14_month,1,True,train
/orcd/scratch/orcd/008/manaal/child-adult-diarization/synth_results/voice_converted/K6O1J5K7Z0/default_14_18mo_42_003009__192b6a2d.wav,K6O1J5K7Z0,14_month,1,True,train
