child_id,timepoint_norm,n_segments,status
A1H3H9Y3T1,14_month,57,ok
A1H3H9Y3T1,36_month,54,ok
A2M5H0V6E3,14_month,14,ok
A2M5H0V6E3,36_month,26,ok
A2P7X9N8L7,14_month,54,ok
A2P7X9N8L7,36_month,66,ok
A3G3T7I1A5,14_month,40,ok
A3G3T7I1A5,36_month,71,ok
A4E8K1L5Y2,36_month,200,ok
A5S7G5T0S5,36_month,0,no_valid_segments
A5X1S7S1E7,14_month,24,ok
A5X1S7S1E7,36_month,37,ok
A6S0V1J3G6,14_month,4,ok
A6S0V1J3G6,36_month,0,no_valid_segments
A6Y4Y7X2G1,14_month,43,ok
A6Y4Y7X2G1,36_month,0,no_valid_segments
A6Z2B3J2A9,14_month,30,ok
A6Z2B3J2A9,36_month,81,ok
A8P5O6Z7X6,14_month,0,no_valid_segments
A8P5O6Z7X6,36_month,0,no_valid_segments
B1L0B3F6F1,14_month,31,ok
B1L0B3F6F1,36_month,27,ok
B1S3L8Q7Y6,14_month,61,ok
B1S3L8Q7Y6,36_month,200,ok
B2R3Q8L2Y3,14_month,187,ok
B2R3Q8L2Y3,36_month,60,ok
B4Q3G8H2N3,14_month,42,ok
B4Q3G8H2N3,36_month,102,ok
B8I6G9P2G8,14_month,0,no_valid_segments
B8I6G9P2G8,36_month,2,ok
B9P5V1I5O5,14_month,2,ok
B9P5V1I5O5,36_month,9,ok
C0O6X3N5Y7,14_month,70,ok
C0O6X3N5Y7,36_month,24,ok
C1G1X2G4C6,36_month,1,ok
C1I8N8L4Q4,14_month,0,no_valid_segments
C1I8N8L4Q4,36_month,29,ok
C3A8Q4J6E5,14_month,6,ok
C4C7T6W2I0,14_month,18,ok
C4C7T6W2I0,36_month,22,ok
C5L2D6N1W6,14_month,17,ok
C5L2D6N1W6,36_month,4,ok
C5U1P3X9F0,14_month,51,ok
C5U1P3X9F0,36_month,14,ok
C5Z9H8S3N8,36_month,0,no_valid_segments
D4Y7P4G2V4,14_month,21,ok
D4Y7P4G2V4,36_month,200,ok
D8G5K7I0D6,14_month,49,ok
D8G5K7I0D6,36_month,12,ok
D8O8B2C4X2,14_month,12,ok
D8O8B2C4X2,36_month,30,ok
D9N0U7M9X3,14_month,0,no_valid_segments
D9N0U7M9X3,36_month,42,ok
E2P5Q8S5A7,14_month,16,ok
E2P5Q8S5A7,36_month,18,ok
E3O3H8O7H4,14_month,10,ok
E3O3H8O7H4,36_month,21,ok
E7G3N4A1K5,14_month,0,no_valid_segments
E7G3N4A1K5,36_month,50,ok
E7T7O3G7J5,14_month,0,no_valid_segments
E7T7O3G7J5,36_month,35,ok
E7Z4G3O5K2,14_month,4,ok
E7Z4G3O5K2,36_month,65,ok
F3M5F9D2S1,36_month,0,no_valid_segments
F3N4H0K1Z1,14_month,94,ok
F3N4H0K1Z1,36_month,97,ok
F6J0V8B6S4,36_month,46,ok
F8N7H3T0O1,14_month,37,ok
F8N7H3T0O1,36_month,14,ok
F8V2U5P1A0,14_month,23,ok
F8V2U5P1A0,36_month,97,ok
G2N1M4K2S0,14_month,5,ok
G3A6S5R9F7,14_month,13,ok
G3A6S5R9F7,36_month,30,ok
G3D3S2N7W8,14_month,18,ok
G4J8F6F4X0,14_month,37,ok
G4J8F6F4X0,36_month,83,ok
G7P6U6U2J5,14_month,0,no_valid_segments
G7P6U6U2J5,36_month,0,no_valid_segments
G8Q8I6N0I3,14_month,34,ok
G8Q8I6N0I3,36_month,0,no_valid_segments
H3B5L5F8T1,14_month,0,no_valid_segments
H3B5L5F8T1,36_month,31,ok
H7C3T0K5E5,14_month,7,ok
H7C3T0K5E5,36_month,32,ok
H9T5Y8D3A1,14_month,0,no_valid_segments
H9T5Y8D3A1,36_month,0,no_valid_segments
I1H5K9K8V1,14_month,0,no_valid_segments
I1H5K9K8V1,36_month,0,no_valid_segments
I8T4E2J3M6,14_month,6,ok
I8T4E2J3M6,36_month,11,ok
J3J0V4T8C3,14_month,101,ok
J3J0V4T8C3,36_month,68,ok
J4J6X7C4D9,14_month,34,ok
J4J6X7C4D9,36_month,17,ok
K2F6S2Q7M8,36_month,0,no_valid_segments
K6I1Q4G2V4,14_month,42,ok
K6I1Q4G2V4,36_month,0,no_valid_segments
K6O1J5K7Z0,14_month,29,ok
K6O1J5K7Z0,36_month,89,ok
K7C7T5A2H9,36_month,0,no_valid_segments
L0B0Q5O3Q3,14_month,142,ok
L0B0Q5O3Q3,36_month,77,ok
L0C6T6H2C6,14_month,29,ok
L0C6T6H2C6,36_month,59,ok
L3F0P2N3D1,14_month,30,ok
L3F0P2N3D1,36_month,0,no_valid_segments
L4K0P3T4Q8,14_month,55,ok
L4K0P3T4Q8,36_month,0,no_valid_segments
L4M1H7J7G3,14_month,61,ok
L4M1H7J7G3,36_month,182,ok
L4M8P2T7S0,14_month,0,no_valid_segments
L4M8P2T7S0,36_month,79,ok
L5Q0Z1W8S2,14_month,14,ok
L5V8G4A3K7,14_month,119,ok
L6F2P7K8P1,14_month,42,ok
L6F2P7K8P1,36_month,63,ok
L7Z6Q2U6Y6,36_month,25,ok
M2N1C8G1C8,14_month,13,ok
M4R4B8C7G8,14_month,0,no_valid_segments
M4R4B8C7G8,36_month,20,ok
M5F7G8S4F0,14_month,32,ok
M5F7G8S4F0,36_month,0,no_valid_segments
M5H7X4O2M2,14_month,41,ok
M5H7X4O2M2,36_month,17,ok
M5O1K4W9O1,14_month,20,ok
M5O1K4W9O1,36_month,18,ok
M5Y0K3C9L0,14_month,2,ok
M5Y0K3C9L0,36_month,18,ok
N1B1A2T8S1,14_month,0,no_valid_segments
N2H7T0A7U5,14_month,0,no_valid_segments
N2H7T0A7U5,36_month,17,ok
N2Z6J3E5Q5,14_month,35,ok
N2Z6J3E5Q5,36_month,45,ok
N3C7S2N8O0,14_month,39,ok
N3C7S2N8O0,36_month,84,ok
N3L7A1I2B9,14_month,200,ok
N3L7A1I2B9,36_month,47,ok
N4U1A5H1W0,14_month,0,no_valid_segments
N4U1A5H1W0,36_month,0,no_valid_segments
N5I9D3R2M1,14_month,57,ok
N5I9D3R2M1,36_month,38,ok
N6O9P4J0Q2,14_month,30,ok
N6O9P4J0Q2,36_month,0,no_valid_segments
O2U2C6W2S9,14_month,53,ok
O2U2C6W2S9,36_month,17,ok
O5Q7I1O6N2,14_month,37,ok
O5Q7I1O6N2,36_month,37,ok
O6F1J9U1J2,14_month,17,ok
O6F1J9U1J2,36_month,34,ok
O7X6W5O8E0,14_month,196,ok
O7X6W5O8E0,36_month,129,ok
P3A4R4S2O3,14_month,13,ok
Q0Q8H5A0D0,14_month,0,no_valid_segments
Q0Q8H5A0D0,36_month,0,no_valid_segments
Q9W9P7Z3J7,14_month,27,ok
Q9W9P7Z3J7,36_month,16,ok
R2C7W8X7N9,14_month,6,ok
R4O0P4P3J4,14_month,19,ok
R4O0P4P3J4,36_month,53,ok
R6G4I3H3J0,14_month,0,no_valid_segments
R6G4I3H3J0,36_month,0,no_valid_segments
R6R8Q6A7K0,14_month,13,ok
R6R8Q6A7K0,36_month,73,ok
R7K7C0J8C1,14_month,0,no_valid_segments
R7K7C0J8C1,36_month,0,no_valid_segments
S0M6Z7D5X7,14_month,15,ok
S0M6Z7D5X7,36_month,47,ok
S2C4T1Y7V7,14_month,46,ok
S2C4T1Y7V7,36_month,46,ok
S4C2W1M7Q0,14_month,0,no_valid_segments
S4C2W1M7Q0,36_month,200,ok
S4O9O2E5Z0,14_month,22,ok
S4O9O2E5Z0,36_month,25,ok
S6T9X3C8Y2,14_month,17,ok
S6T9X3C8Y2,36_month,0,no_valid_segments
S7F0B6H3A3,14_month,38,ok
S7F0B6H3A3,36_month,93,ok
S7Y0I2P0S8,14_month,58,ok
S7Y0I2P0S8,36_month,65,ok
S9B3J7I4R1,14_month,4,ok
S9B3J7I4R1,36_month,73,ok
S9D2T7Y9B1,14_month,32,ok
S9D2T7Y9B1,36_month,9,ok
T1G8F8W8Y8,14_month,27,ok
T1G8F8W8Y8,36_month,75,ok
T2H0J0N2Z5,14_month,15,ok
T2H0J0N2Z5,36_month,20,ok
T4J4L5S2E8,14_month,0,no_valid_segments
T4R5V7C3L6,14_month,0,no_valid_segments
T4R5V7C3L6,36_month,0,no_valid_segments
T8P2Z1M9O9,14_month,12,ok
T8P2Z1M9O9,36_month,6,ok
U6O5F2B7T5,14_month,43,ok
U6O5F2B7T5,36_month,18,ok
V7D7K3H8B4,14_month,16,ok
V7D7K3H8B4,36_month,55,ok
V7G3E2O2E6,14_month,0,no_valid_segments
V9X2Q7S1E1,14_month,28,ok
V9X2Q7S1E1,36_month,0,no_valid_segments
W2E0Z9B7Z8,36_month,41,ok
W3I4D2X4Z4,14_month,84,ok
W3I4D2X4Z4,36_month,41,ok
W3O7N1N8U2,14_month,0,no_valid_segments
W3O7N1N8U2,36_month,6,ok
W3P0N4W0X9,14_month,36,ok
W3P0N4W0X9,36_month,76,ok
W4O4B5W7K0,14_month,0,no_valid_segments
W4O4B5W7K0,36_month,57,ok
W7P7J6H1H6,14_month,13,ok
W9K7Y8Y0V6,36_month,78,ok
W9S0D6Q7Z5,14_month,14,ok
X1U1P0D1X3,14_month,21,ok
X1U1P0D1X3,36_month,43,ok
X2N4R2N5V8,14_month,0,no_valid_segments
X2N4R2N5V8,36_month,16,ok
Y4W4H9A8X5,14_month,0,no_valid_segments
Y4W4H9A8X5,36_month,4,ok
Y5C5R8P9Z5,36_month,0,no_valid_segments
Y6Z4H0C5U2,14_month,28,ok
Y6Z4H0C5U2,36_month,91,ok
Z1J6X4Y3Z4,14_month,13,ok
Z1J6X4Y3Z4,36_month,0,no_valid_segments
Z2E7T3I3H2,14_month,13,ok
Z2E7T3I3H2,36_month,73,ok
Z3C2V9T0V1,36_month,0,no_valid_segments
Z3H6O7C3O9,36_month,13,ok
