child_id,timepoint_norm,n_segments,status
A1H3H9Y3T1,14_month,20,ok
A1H3H9Y3T1,36_month,27,ok
A2M5H0V6E3,14_month,17,ok
A2M5H0V6E3,36_month,15,ok
A2P7X9N8L7,14_month,27,ok
A2P7X9N8L7,36_month,39,ok
A3G3T7I1A5,14_month,1,ok
A3G3T7I1A5,36_month,21,ok
A4E8K1L5Y2,36_month,74,ok
A5S7G5T0S5,36_month,4,ok
A5X1S7S1E7,14_month,5,ok
A5X1S7S1E7,36_month,11,ok
A6S0V1J3G6,14_month,10,ok
A6S0V1J3G6,36_month,20,ok
A6Y4Y7X2G1,14_month,31,ok
A6Y4Y7X2G1,36_month,28,ok
A6Z2B3J2A9,14_month,31,ok
A6Z2B3J2A9,36_month,46,ok
A8P5O6Z7X6,14_month,5,ok
A8P5O6Z7X6,36_month,10,ok
B1L0B3F6F1,14_month,26,ok
B1L0B3F6F1,36_month,53,ok
B1S3L8Q7Y6,14_month,44,ok
B1S3L8Q7Y6,36_month,142,ok
B2R3Q8L2Y3,14_month,140,ok
B2R3Q8L2Y3,36_month,74,ok
B4Q3G8H2N3,14_month,3,ok
B4Q3G8H2N3,36_month,94,ok
B8I6G9P2G8,14_month,20,ok
B8I6G9P2G8,36_month,29,ok
B9P5V1I5O5,14_month,16,ok
B9P5V1I5O5,36_month,6,ok
C0O6X3N5Y7,14_month,18,ok
C0O6X3N5Y7,36_month,35,ok
C1G1X2G4C6,36_month,5,ok
C1I8N8L4Q4,14_month,9,ok
C1I8N8L4Q4,36_month,10,ok
C3A8Q4J6E5,14_month,9,ok
C4C7T6W2I0,14_month,13,ok
C4C7T6W2I0,36_month,22,ok
C5L2D6N1W6,14_month,19,ok
C5L2D6N1W6,36_month,29,ok
C5U1P3X9F0,14_month,51,ok
C5U1P3X9F0,36_month,7,ok
C5Z9H8S3N8,36_month,18,ok
D4Y7P4G2V4,14_month,19,ok
D4Y7P4G2V4,36_month,200,ok
D8G5K7I0D6,14_month,34,ok
D8G5K7I0D6,36_month,3,ok
D8O8B2C4X2,14_month,22,ok
D8O8B2C4X2,36_month,53,ok
D9N0U7M9X3,14_month,24,ok
D9N0U7M9X3,36_month,98,ok
E2P5Q8S5A7,14_month,23,ok
E2P5Q8S5A7,36_month,36,ok
E3O3H8O7H4,14_month,3,ok
E3O3H8O7H4,36_month,18,ok
E7G3N4A1K5,14_month,25,ok
E7G3N4A1K5,36_month,21,ok
E7T7O3G7J5,14_month,1,ok
E7T7O3G7J5,36_month,19,ok
E7Z4G3O5K2,14_month,3,ok
E7Z4G3O5K2,36_month,42,ok
F3M5F9D2S1,36_month,47,ok
F3N4H0K1Z1,14_month,94,ok
F3N4H0K1Z1,36_month,80,ok
F6J0V8B6S4,14_month,10,ok
F6J0V8B6S4,36_month,12,ok
