child_id,timepoint_norm,n_segments,status
A1H3H9Y3T1,14_month,59,ok
A1H3H9Y3T1,36_month,39,ok
A3G3T7I1A5,14_month,13,ok
A3G3T7I1A5,36_month,10,ok
A4E8K1L5Y2,36_month,200,ok
A5X1S7S1E7,14_month,11,ok
A5X1S7S1E7,36_month,8,ok
A6Y4Y7X2G1,14_month,60,ok
A6Y4Y7X2G1,36_month,16,ok
B1L0B3F6F1,14_month,67,ok
B1L0B3F6F1,36_month,61,ok
B1S3L8Q7Y6,14_month,82,ok
B1S3L8Q7Y6,36_month,189,ok
B8I6G9P2G8,14_month,36,ok
B8I6G9P2G8,36_month,86,ok
C0O6X3N5Y7,14_month,71,ok
C0O6X3N5Y7,36_month,37,ok
C1G1X2G4C6,14_month,2,ok
C1G1X2G4C6,36_month,4,ok
C1I8N8L4Q4,14_month,15,ok
C1I8N8L4Q4,36_month,29,ok
C4C7T6W2I0,14_month,31,ok
C4C7T6W2I0,36_month,23,ok
D4Y7P4G2V4,14_month,21,ok
D4Y7P4G2V4,36_month,200,ok
D7O9E3F9P9,36_month,15,ok
D8G5K7I0D6,14_month,44,ok
D8G5K7I0D6,36_month,5,ok
D9N0U7M9X3,14_month,20,ok
D9N0U7M9X3,36_month,85,ok
E7G3N4A1K5,14_month,17,ok
E7G3N4A1K5,36_month,28,ok
E7Z4G3O5K2,14_month,3,ok
E7Z4G3O5K2,36_month,65,ok
F3M5F9D2S1,36_month,31,ok
F3N4H0K1Z1,14_month,127,ok
F3N4H0K1Z1,36_month,103,ok
F6J0V8B6S4,14_month,6,ok
F6J0V8B6S4,36_month,42,ok
G2N1M4K2S0,14_month,11,ok
G3D3S2N7W8,14_month,27,ok
G4J8F6F4X0,14_month,23,ok
G4J8F6F4X0,36_month,111,ok
H3B5L5F8T1,14_month,74,ok
H3B5L5F8T1,36_month,56,ok
H9T5Y8D3A1,14_month,3,ok
H9T5Y8D3A1,36_month,9,ok
I1H5K9K8V1,14_month,33,ok
I1H5K9K8V1,36_month,15,ok
I8T4E2J3M6,14_month,7,ok
I8T4E2J3M6,36_month,5,ok
J4J6X7C4D9,14_month,48,ok
J4J6X7C4D9,36_month,32,ok
K2F6S2Q7M8,36_month,18,ok
L0B0Q5O3Q3,14_month,138,ok
L0B0Q5O3Q3,36_month,200,ok
L0C6T6H2C6,14_month,31,ok
L0C6T6H2C6,36_month,57,ok
L4K0P3T4Q8,14_month,36,ok
L4K0P3T4Q8,36_month,42,ok
L4M1H7J7G3,14_month,74,ok
L4M1H7J7G3,36_month,170,ok
L5Q0Z1W8S2,14_month,11,ok
L6F2P7K8P1,14_month,36,ok
L6F2P7K8P1,36_month,44,ok
L7Z6Q2U6Y6,36_month,30,ok
M5F7G8S4F0,14_month,43,ok
M5F7G8S4F0,36_month,17,ok
M5Y0K3C9L0,14_month,11,ok
M5Y0K3C9L0,36_month,19,ok
N2H7T0A7U5,14_month,13,ok
N2H7T0A7U5,36_month,24,ok
N3L7A1I2B9,14_month,200,ok
N3L7A1I2B9,36_month,181,ok
N4U1A5H1W0,14_month,19,ok
N4U1A5H1W0,36_month,31,ok
N6O9P4J0Q2,14_month,56,ok
N6O9P4J0Q2,36_month,15,ok
O5Q7I1O6N2,14_month,60,ok
O5Q7I1O6N2,36_month,53,ok
O6F1J9U1J2,14_month,28,ok
O6F1J9U1J2,36_month,46,ok
P3A4R4S2O3,14_month,15,ok
Q0Q8H5A0D0,14_month,16,ok
Q0Q8H5A0D0,36_month,23,ok
Q9W9P7Z3J7,14_month,75,ok
Q9W9P7Z3J7,36_month,45,ok
R6G4I3H3J0,14_month,15,ok
R6G4I3H3J0,36_month,28,ok
R6R8Q6A7K0,14_month,22,ok
R6R8Q6A7K0,36_month,61,ok
S0M6Z7D5X7,14_month,12,ok
S0M6Z7D5X7,36_month,20,ok
S2C4T1Y7V7,14_month,63,ok
S2C4T1Y7V7,36_month,21,ok
S4C2W1M7Q0,14_month,40,ok
S4C2W1M7Q0,36_month,118,ok
S4O9O2E5Z0,14_month,30,ok
S4O9O2E5Z0,36_month,43,ok
S7Y0I2P0S8,14_month,67,ok
S7Y0I2P0S8,36_month,69,ok
S9B3J7I4R1,14_month,28,ok
S9B3J7I4R1,36_month,69,ok
S9D2T7Y9B1,14_month,33,ok
S9D2T7Y9B1,36_month,29,ok
T1G8F8W8Y8,14_month,23,ok
T1G8F8W8Y8,36_month,59,ok
T2H0J0N2Z5,14_month,26,ok
T2H0J0N2Z5,36_month,13,ok
T4J4L5S2E8,14_month,48,ok
V7D7K3H8B4,14_month,25,ok
V7D7K3H8B4,36_month,50,ok
V7G3E2O2E6,14_month,8,ok
V9X2Q7S1E1,14_month,30,ok
V9X2Q7S1E1,36_month,54,ok
W3P0N4W0X9,14_month,17,ok
W3P0N4W0X9,36_month,74,ok
W7P7J6H1H6,14_month,18,ok
W9S0D6Q7Z5,14_month,72,ok
Y4W4H9A8X5,14_month,12,ok
Y4W4H9A8X5,36_month,7,ok
Y6Z4H0C5U2,14_month,60,ok
Y6Z4H0C5U2,36_month,109,ok
Z3C2V9T0V1,36_month,10,ok
Z3H6O7C3O9,36_month,10,ok
