task,n,pos_rate,accuracy,fp_rate,fn_rate,mean_chi_dur,mean_n_children,pct_interaction
generalsocialinteraction,1,0.0,0.0,1.0,0.0,0.5800000000000001,1.0,1.0
unknown,11,0.8181818181818182,0.18181818181818182,0.0,1.0,0.0,1.2727272727272727,0.6363636363636364
specialoccasion,17,0.5294117647058824,0.5294117647058824,1.0,0.0,18.00352941176471,1.7647058823529411,0.8823529411764706
motorplay,96,0.65625,0.7291666666666666,0.7878787878787878,0.0,10.734375,1.4791666666666667,0.7916666666666666
other,43,0.6744186046511628,0.7674418604651163,0.6428571428571429,0.034482758620689655,8.70232558139535,1.3255813953488371,0.3488372093023256
bookshare,9,0.7777777777777778,0.7777777777777778,0.5,0.14285714285714285,20.933333333333337,1.2222222222222223,0.6666666666666666
toyplay,77,0.7402597402597403,0.7792207792207793,0.8,0.017543859649122806,12.821038961038958,1.103896103896104,0.7012987012987013
generalsocialcommunicationinteraction,135,0.8296296296296296,0.8444444444444444,0.9130434782608695,0.0,12.897925925925927,1.2222222222222223,0.9407407407407408
socialroutine,23,0.9565217391304348,0.9565217391304348,1.0,0.0,21.334782608695654,1.1304347826086956,0.9565217391304348
dailyroutine,29,0.9310344827586207,0.9655172413793104,0.5,0.0,8.611034482758622,1.1379310344827587,0.8275862068965517
