child_id,timepoint,n_clips,role_accuracy,enroll_accuracy,accuracy_delta
N5I9D3R2M1,14_month,4,1.0,0.75,-0.25
J4J6X7C4D9,14_month,5,1.0,0.8,-0.2
J3J0V4T8C3,14_month,12,0.8333333333333334,0.75,-0.08333333333333333
A1H3H9Y3T1,14_month,3,0.6666666666666666,0.6666666666666666,0.0
A4E8K1L5Y2,36_month,3,1.0,1.0,0.0
A5X1S7S1E7,14_month,3,1.0,1.0,0.0
A2P7X9N8L7,14_month,5,0.8,0.8,0.0
A2M5H0V6E3,14_month,3,1.0,1.0,0.0
A6Z2B3J2A9,14_month,2,1.0,1.0,0.0
A8P5O6Z7X6,14_month,1,0.0,0.0,0.0
B1L0B3F6F1,14_month,3,1.0,1.0,0.0
B1S3L8Q7Y6,14_month,17,0.8235294117647058,0.8235294117647058,0.0
B2R3Q8L2Y3,14_month,4,1.0,1.0,0.0
B4Q3G8H2N3,14_month,8,0.5,0.5,0.0
A6S0V1J3G6,14_month,1,0.0,0.0,0.0
A3G3T7I1A5,14_month,4,1.0,1.0,0.0
E3O3H8O7H4,14_month,3,0.6666666666666666,0.6666666666666666,0.0
C1G1X2G4C6,14_month,3,0.3333333333333333,0.3333333333333333,0.0
C1I8N8L4Q4,36_month,2,0.5,0.5,0.0
C3A8Q4J6E5,14_month,1,1.0,1.0,0.0
C4C7T6W2I0,14_month,3,0.6666666666666666,0.6666666666666666,0.0
C5L2D6N1W6,14_month,2,0.5,0.5,0.0
C5U1P3X9F0,14_month,8,1.0,1.0,0.0
D8G5K7I0D6,14_month,4,0.75,0.75,0.0
E7Z4G3O5K2,14_month,4,0.5,0.5,0.0
D8O8B2C4X2,14_month,3,1.0,1.0,0.0
D9N0U7M9X3,36_month,1,1.0,1.0,0.0
E2P5Q8S5A7,14_month,3,0.6666666666666666,0.6666666666666666,0.0
E7G3N4A1K5,36_month,2,1.0,1.0,0.0
F3N4H0K1Z1,14_month,12,0.9166666666666666,0.9166666666666666,0.0
B9P5V1I5O5,14_month,2,0.0,0.0,0.0
A6Y4Y7X2G1,14_month,6,0.6666666666666666,0.6666666666666666,0.0
L0B0Q5O3Q3,14_month,10,0.9,0.9,0.0
L0C6T6H2C6,14_month,3,1.0,1.0,0.0
L3F0P2N3D1,14_month,1,1.0,1.0,0.0
F6J0V8B6S4,36_month,1,0.0,0.0,0.0
G2N1M4K2S0,14_month,1,1.0,1.0,0.0
G3A6S5R9F7,14_month,5,0.6,0.6,0.0
F8N7H3T0O1,14_month,6,0.6666666666666666,0.6666666666666666,0.0
F8V2U5P1A0,14_month,5,0.8,0.8,0.0
G4J8F6F4X0,14_month,11,0.5454545454545454,0.5454545454545454,0.0
G3D3S2N7W8,14_month,2,0.5,0.5,0.0
G8Q8I6N0I3,14_month,2,1.0,1.0,0.0
H3B5L5F8T1,14_month,5,0.8,0.8,0.0
I8T4E2J3M6,14_month,8,0.25,0.25,0.0
H7C3T0K5E5,14_month,4,0.5,0.5,0.0
K6I1Q4G2V4,14_month,2,1.0,1.0,0.0
K6O1J5K7Z0,14_month,7,1.0,1.0,0.0
L6F2P7K8P1,14_month,5,1.0,1.0,0.0
L7Z6Q2U6Y6,36_month,2,1.0,1.0,0.0
M2N1C8G1C8,14_month,1,1.0,1.0,0.0
L4K0P3T4Q8,14_month,2,1.0,1.0,0.0
L4M1H7J7G3,14_month,8,1.0,1.0,0.0
L4M8P2T7S0,36_month,7,1.0,1.0,0.0
L5Q0Z1W8S2,14_month,1,1.0,1.0,0.0
L5V8G4A3K7,14_month,1,0.0,0.0,0.0
M5F7G8S4F0,14_month,3,1.0,1.0,0.0
M5H7X4O2M2,14_month,3,0.3333333333333333,0.3333333333333333,0.0
M5O1K4W9O1,14_month,5,0.6,0.6,0.0
M4R4B8C7G8,36_month,1,0.0,0.0,0.0
M5Y0K3C9L0,14_month,3,0.6666666666666666,0.6666666666666666,0.0
N3L7A1I2B9,14_month,25,0.84,0.84,0.0
N2Z6J3E5Q5,14_month,6,1.0,1.0,0.0
C0O6X3N5Y7,14_month,10,0.9,0.9,0.0
Y4W4H9A8X5,36_month,2,0.0,0.0,0.0
Y6Z4H0C5U2,14_month,2,1.0,1.0,0.0
Z1J6X4Y3Z4,14_month,3,0.3333333333333333,0.3333333333333333,0.0
N3C7S2N8O0,14_month,5,0.8,0.8,0.0
O2U2C6W2S9,14_month,3,1.0,1.0,0.0
N6O9P4J0Q2,14_month,1,1.0,1.0,0.0
O5Q7I1O6N2,14_month,4,1.0,1.0,0.0
O6F1J9U1J2,14_month,4,0.75,0.75,0.0
R4O0P4P3J4,14_month,3,1.0,1.0,0.0
